1:1-4	In the name of God, the Most Gracious, the Most Merciful. Praise be to God, Lord of the worlds. The Most Gracious, the Most Merciful. Master of the Day of Judgment.
1:5-6	You alone do we worship, and You alone do we ask for help. Guide us to the straight path.
1:7-7	The path of those upon whom You have bestowed favor, not of those who have incurred Your wrath nor of those who have gone astray.
2:1-2	Alif, Lam, Meem. This is the Book about which there is no doubt, a guidance for those conscious of Allah.
2:3-5	Those who believe in the unseen, establish prayer, and spend out of what We have provided for them. And those who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith]. Those are upon [right] guidance from their Lord, and it is those who are the successful.
2:6-7	Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe. Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment.
2:8-16	"Among the people are those who say, ""We believe in Allah and the Last Day,"" while they are not believers. They seek to deceive Allah and those who believe, but they deceive only themselves and perceive [it] not. In their hearts is disease, so Allah has increased their disease; and for them is a painful punishment because they [habitually] used to lie. And when it is said to them, ""Do not cause corruption on the earth,"" they say, ""We are only reformers."" Unquestionably, it is they who are the corrupters, but they perceive [it] not. And when it is said to them, ""Believe as the people have believed,"" they say, ""Should we believe as the fools have believed?"" Unquestionably, it is they who are the fools, but they do not know. And when they meet those who believe, they say, ""We believe,"" but when they are alone with their evil ones, they say, ""Indeed, we are with you; we were only mocking."" Allah mocks at them and prolongs them in their transgression while they wander blindly. Those are the ones who have purchased error in place of guidance. So their transaction brings no profit, nor were they guided."
2:17-20	Their parable is that of one who kindled a fire, but when it illuminated what was around him, Allah took away their light and left them in darknesses [so] they cannot see. Deaf, dumb, and blind, so they will not return. Or [the example of] a rainstorm from the sky in which is darkness and thunder and lightning. They put their fingers in their ears because of the thunderclaps, for fear of death. And Allah encompasses the disbelievers. The lightning almost snatches away their sight. Whenever it lights up for them, they walk therein, but when darkness covers them, they stand still. And if Allah had willed, He could have taken away their hearing and their sight. Indeed, Allah is over all things competent.
2:21-22	O mankind, worship your Lord, who created you and those before you, that you may become righteous. He who made for you the earth a resting place and the sky a canopy and sent down water from the sky and brought forth thereby fruits as provision for you. So do not attribute to God equals while you know.
2:23-24	And if you are in doubt about what We have sent down upon Our Servant, then produce a surah the like thereof and call upon your witnesses other than Allah, if you should be truthful. But if you do not - and you will never be able to - then fear the Fire whose fuel is men and stones, prepared for the disbelievers.
